Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-06-20,The Graded Gallery,"33 Woodbridge Road, Birmingham, England, B13 8EH, GB",B13 8EH,12,N/A,10m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=33%20Woodbridge%20Road%2C%20Birmingham%2C%20England%2C%20B13%208EH%2C%20GB,https://tcg.ravensburgerplay.com/events/674774,,£25.00,2026-06-15T00:21:51.877256
2026-06-20,The Games Den,"7 Park Street, Royal Leamington Spa, England, CV32 4QN, GB",CV32 4QN,16,11,42m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=7%20Park%20Street%2C%20Royal%20Leamington%20Spa%2C%20England%2C%20CV32%204QN%2C%20GB,https://tcg.ravensburgerplay.com/events/617414,https://tcg.ravensburgerplay.com/events/358896,£7.50,2026-06-15T00:21:51.196316
2026-06-20,The Dice Cup,"68-70 Mansfield Road, Nottingham, England, NG1 3GY, GB",NG1 3GY,28,15,1h 5m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=68-70%20Mansfield%20Road%2C%20Nottingham%2C%20England%2C%20NG1%203GY%2C%20GB,https://tcg.ravensburgerplay.com/events/567650,https://tcg.ravensburgerplay.com/events/454161,£12.00,2026-06-15T00:21:46.381829
2026-06-20,Sanctuary Gaming Centre,"Ashbrook House, Forest St, Sutton-in-Ashfield, England, NG17 1BE, GB",NG17 1BE,8,6,1h 13m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Ashbrook%20House%2C%20Forest%20St%2C%20Sutton-in-Ashfield%2C%20England%2C%20NG17%201BE%2C%20GB,https://tcg.ravensburgerplay.com/events/695533,https://tcg.ravensburgerplay.com/events/467661,£20.00,2026-06-16T21:08:46.377850
2026-06-20,Impact League TCG,"25, Waterborne Walk, Leighton Buzzard, England, LU7 1DH, GB",LU7 1DH,11,N/A,1h 32m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=25%2C%20Waterborne%20Walk%2C%20Leighton%20Buzzard%2C%20England%2C%20LU7%201DH%2C%20GB,https://tcg.ravensburgerplay.com/events/675595,,£15.00,2026-06-15T00:21:52.923040
2026-06-20,Atomic Cards,"9 Hobley Dr, Swindon, England, SN3 4JG, GB",SN3 4JG,11,8,1h 41m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=9%20Hobley%20Dr%2C%20Swindon%2C%20England%2C%20SN3%204JG%2C%20GB,https://tcg.ravensburgerplay.com/events/613103,https://tcg.ravensburgerplay.com/events/475353,£10.00,2026-06-15T00:21:49.934542
2026-06-20,Angle Gaming Lounge,"939 Lincoln Road, Peterborough, England, pe4 6af, GB",PE4 6AF,10,11,1h 42m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=939%20Lincoln%20Road%2C%20Peterborough%2C%20England%2C%20pe4%206af%2C%20GB,https://tcg.ravensburgerplay.com/events/483033,https://tcg.ravensburgerplay.com/events/364627,£0.00,2026-06-15T00:21:49.398889
2026-06-20,Geek Retreat Chester,"Chester Retail Park, 5B, Old Seals Way, Chester, England, CH1 4RY, GB",CH1 4RY,16,8,1h 43m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Chester%20Retail%20Park%2C%205B%2C%20Old%20Seals%20Way%2C%20Chester%2C%20England%2C%20CH1%204RY%2C%20GB,https://tcg.ravensburgerplay.com/events/487431,https://tcg.ravensburgerplay.com/events/444113,£15.00,2026-06-15T00:21:41.662261
2026-06-20,Fan Boy Three,"25 Hilton Street, Greater Manchester, England, M1 1EL, GB",M1 1EL,14,23,1h 46m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=25%20Hilton%20Street%2C%20Greater%20Manchester%2C%20England%2C%20M1%201EL%2C%20GB,https://tcg.ravensburgerplay.com/events/490545,https://tcg.ravensburgerplay.com/events/349932,£15.00,2026-06-15T00:21:48.123618
2026-06-20,Firestorm Games Newport,"Spytty Road, Tesco, Newport, NP19 4TX, GB",NP19 4TX,10,13,1h 53m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Spytty%20Road%2C%20Tesco%2C%20Newport%2C%20NP19%204TX%2C%20GB,https://tcg.ravensburgerplay.com/events/538400,https://tcg.ravensburgerplay.com/events/402561,£17.00,2026-06-15T00:21:42.388391
