Date,Type,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-07-19,Attack of the Vine Prerelease (Sealed),Trigon Games,"Unit 1&2, 58-64 Grove Rd, Rochester ME2 4BY, UK",ME2 4BY,12,N/A,14m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Unit%201%262%2C%2058-64%20Grove%20Rd%2C%20Rochester%20ME2%204BY%2C%20UK,https://tcg.ravensburgerplay.com/events/763253,,£35.00,2026-07-18T01:58:44.600460
2026-07-19,Attack of the Vine Prerelease (Sealed),The Movie Shack,"2 Mayplace Rd W, Bexleyheath, England, DA7 4JB, GB",DA7 4JB,5,N/A,18m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=2%20Mayplace%20Rd%20W%2C%20Bexleyheath%2C%20England%2C%20DA7%204JB%2C%20GB,https://tcg.ravensburgerplay.com/events/750232,,£35.00,2026-07-18T01:58:09.060163
2026-07-19,Attack of the Vine Prerelease (Sealed),Nerd Base,"Knightswick Road, Canvey Island, England, SS8 7AD, GB",SS8 7AD,5,N/A,43m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Knightswick%20Road%2C%20Canvey%20Island%2C%20England%2C%20SS8%207AD%2C%20GB,https://tcg.ravensburgerplay.com/events/777808,,£0.00,2026-07-18T01:58:18.234041
2026-07-19,Attack of the Vine Prerelease (Sealed),The Other Games,"Blue Post House, 128, Newland St, Witham, England, CM8 1BA, GB",CM8 1BA,13,N/A,54m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Blue%20Post%20House%2C%20128%2C%20Newland%20St%2C%20Witham%2C%20England%2C%20CM8%201BA%2C%20GB,https://tcg.ravensburgerplay.com/events/708866,,£35.00,2026-07-18T09:40:54.333941
2026-07-19,Attack of the Vine Prerelease (Sealed),Zombie Games Cafe,"15 Cricklewood Broadway, London, England, NW2 3JX, GB",NW2 3JX,18,N/A,1h 8m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=15%20Cricklewood%20Broadway%2C%20London%2C%20England%2C%20NW2%203JX%2C%20GB,https://tcg.ravensburgerplay.com/events/677439,,£35.00,2026-07-18T01:58:32.673403
2026-07-19,Attack of the Vine Prerelease (Sealed),Gotcha Geek,"7, Queen St, Deal, England, CT14 6ET, GB",CT14 6ET,4,N/A,1h 9m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=7%2C%20Queen%20St%2C%20Deal%2C%20England%2C%20CT14%206ET%2C%20GB,https://tcg.ravensburgerplay.com/events/695069,,£30.00,2026-07-18T01:58:31.424529
2026-07-19,Attack of the Vine Prerelease (Sealed),Geek Retreat Stevenage,"Park Place Plaza, Stevenage, England, SG1 1BF, GB",SG1 1BF,11,N/A,1h 11m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Park%20Place%20Plaza%2C%20Stevenage%2C%20England%2C%20SG1%201BF%2C%20GB,https://tcg.ravensburgerplay.com/events/697696,,£35.00,2026-07-18T01:58:26.043394
2026-07-19,Attack of the Vine Prerelease (Pack Rush),KD Games,"32a High Street, West Sussex, England, BN43 5DA, GB",BN43 5DA,6,N/A,1h 18m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=32a%20High%20Street%2C%20West%20Sussex%2C%20England%2C%20BN43%205DA%2C%20GB,https://tcg.ravensburgerplay.com/events/782904,,£0.00,2026-07-19T17:44:45.552904
2026-07-19,Attack of the Vine Prerelease (Sealed),Elemental Cards,"Heathlands Rd, Wokingham, England, RG40 3AW, GB",RG40 3AW,31,N/A,1h 21m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=Heathlands%20Rd%2C%20Wokingham%2C%20England%2C%20RG40%203AW%2C%20GB,https://tcg.ravensburgerplay.com/events/692512,,£35.00,2026-07-18T01:57:59.552676
2026-07-19,Attack of the Vine Prerelease (Sealed),Comics Games & Coffee Worthing,"8 Montague Street, Worthing, England, BN11 1YJ, GB",BN11 1YJ,4,N/A,1h 27m,https://www.google.com/maps/dir/?api=1&origin=DA13%209DJ&destination=8%20Montague%20Street%2C%20Worthing%2C%20England%2C%20BN11%201YJ%2C%20GB,https://tcg.ravensburgerplay.com/events/782650,,£30.00,2026-07-19T08:35:27.292472
