Date,Type,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-07-25,Card Con IV,Drinks and Dice,"10, Church Rd, London, England, TW11 8PB, GB",TW11 8PB,12,N/A,1h 6m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=10%2C%20Church%20Rd%2C%20London%2C%20England%2C%20TW11%208PB%2C%20GB,https://tcg.ravensburgerplay.com/events/736073,,£12.50,2026-07-03T09:15:00.783850

2026-07-26,Card Con IV,Food and Board,"32-42 Tudor Drive, Food and Board, Yateley, England, GU466BY, GB",GU466BY,13,N/A,1h 11m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=32-42%20Tudor%20Drive%2C%20Food%20and%20Board%2C%20Yateley%2C%20England%2C%20GU466BY%2C%20GB,https://tcg.ravensburgerplay.com/events/697814,,£15.00,2026-07-03T09:15:02.035716

2026-08-01,Card Con IV,d20 Board Game Cafe Watford,"87 Queen's Road, Watford, England, WD17 2QN, GB",WD17 2QN,0,N/A,37m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=87%20Queen%27s%20Road%2C%20Watford%2C%20England%2C%20WD17%202QN%2C%20GB,https://tcg.ravensburgerplay.com/events/672773,,£16.50,2026-07-03T09:15:03.892441
2026-08-01,Card Con IV,Elemental Cards,"Heathlands Rd, Wokingham, England, RG40 3AW, GB",RG40 3AW,5,N/A,1h 2m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=Heathlands%20Rd%2C%20Wokingham%2C%20England%2C%20RG40%203AW%2C%20GB,https://tcg.ravensburgerplay.com/events/674912,,£15.00,2026-07-03T09:15:02.807935

2026-08-02,Card Con IV,Oxshed Cafe,"5 Ratcliffe Court, Oxshed Cafe, Wallingford, England, OX109QF, GB",OX109QF,1,N/A,47m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=5%20Ratcliffe%20Court%2C%20Oxshed%20Cafe%2C%20Wallingford%2C%20England%2C%20OX109QF%2C%20GB,https://tcg.ravensburgerplay.com/events/677496,,£15.00,2026-07-03T09:15:06.443430
2026-08-02,Card Con IV,The Games Shop,"6 Wellington Street, Aldershot, England, GU11 1DZ, GB",GU11 1DZ,0,N/A,1h 14m,https://www.google.com/maps/dir/?api=1&origin=HP21%208LT&destination=6%20Wellington%20Street%2C%20Aldershot%2C%20England%2C%20GU11%201DZ%2C%20GB,https://tcg.ravensburgerplay.com/events/674958,,£15.00,2026-07-03T09:15:05.055400

