Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-06-28,Manascrew,"Sheep Street, 52 Sheep Street, Northampton, England, NN12LZ, GB",NN12LZ,12,10,41m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Sheep%20Street%2C%2052%20Sheep%20Street%2C%20Northampton%2C%20England%2C%20NN12LZ%2C%20GB,https://tcg.ravensburgerplay.com/events/685761,https://tcg.ravensburgerplay.com/events/474615,£15.00,2026-06-15T00:22:21.211930
2026-06-28,Southern Inkz tattoo studio,"52, Queen St, Wellingborough, England, NN8 4JP, GB",NN8 4JP,8,N/A,46m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=52%2C%20Queen%20St%2C%20Wellingborough%2C%20England%2C%20NN8%204JP%2C%20GB,https://tcg.ravensburgerplay.com/events/651683,,£15.00,2026-06-15T00:22:26.626484
2026-06-28,Zombie Games Cafe,"15 Cricklewood Broadway, London, England, NW2 3JX, GB",NW2 3JX,28,N/A,50m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=15%20Cricklewood%20Broadway%2C%20London%2C%20England%2C%20NW2%203JX%2C%20GB,https://tcg.ravensburgerplay.com/events/511726,,£10.00,2026-06-15T00:22:28.235186
2026-06-28,Waterstones Cambridge,"Waterstones Cambridge, 22 Sydney Street, Cambridge, CB23HG, UK, Cambridge, C, CB23HG, UK",CB23HG,22,25,58m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Waterstones%20Cambridge%2C%2022%20Sydney%20Street%2C%20Cambridge%2C%20CB23HG%2C%20UK%2C%20Cambridge%2C%20C%2C%20CB23HG%2C%20UK,https://tcg.ravensburgerplay.com/events/707198,https://tcg.ravensburgerplay.com/events/449026,£15.00,2026-06-21T07:36:34.290447
2026-06-28,Hokey Poke Games,"13, High St, Rugby, England, CV21 3BG, GB",CV21 3BG,14,12,1h 2m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=13%2C%20High%20St%2C%20Rugby%2C%20England%2C%20CV21%203BG%2C%20GB,https://tcg.ravensburgerplay.com/events/650515,https://tcg.ravensburgerplay.com/events/472395,£15.00,2026-06-15T00:22:28.764308
2026-06-28,TheHiveGaming,"Church Lane, CHURCH LANE, BANBURY,OXON, England, OX16 5LR, GB",OX16 5LR,11,10,1h 7m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Church%20Lane%2C%20CHURCH%20LANE%2C%20BANBURY%2COXON%2C%20England%2C%20OX16%205LR%2C%20GB,https://tcg.ravensburgerplay.com/events/577361,https://tcg.ravensburgerplay.com/events/454816,£10.00,2026-06-15T00:22:21.768757
2026-06-28,Shuffle Board Game Cafe,"63 St Andrew's Street S, Bury St Edmunds, Bury Saint Edmunds IP33 1SD, UK",IP33 1SD,16,16,1h 23m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=63%20St%20Andrew%27s%20Street%20S%2C%20Bury%20St%20Edmunds%2C%20Bury%20Saint%20Edmunds%20IP33%201SD%2C%20UK,https://tcg.ravensburgerplay.com/events/604365,https://tcg.ravensburgerplay.com/events/470627,£20.00,2026-06-15T00:22:22.368149
2026-06-28,Hardwired-Games ,"London St, Basingstoke, England, RG21 7NY, GB",RG21 7NY,8,8,1h 30m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=London%20St%2C%20Basingstoke%2C%20England%2C%20RG21%207NY%2C%20GB,https://tcg.ravensburgerplay.com/events/698268,https://tcg.ravensburgerplay.com/events/238486,£30.00,2026-06-17T18:28:34.415562
2026-06-28,Game Guru (Utilita Arena),"King Edwards Rd, Birmingham, England, B1 2AA, GB",B1 2AA,16,N/A,1h 37m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=King%20Edwards%20Rd%2C%20Birmingham%2C%20England%2C%20B1%202AA%2C%20GB,https://tcg.ravensburgerplay.com/events/585900,,£20.00,2026-06-15T00:22:33.638537
2026-06-28,Boards and Swords Hobbies,"3 Stores Rd, Derby, England, DE21 4BJ, GB",DE21 4BJ,24,17,1h 45m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=3%20Stores%20Rd%2C%20Derby%2C%20England%2C%20DE21%204BJ%2C%20GB,https://tcg.ravensburgerplay.com/events/604490,https://tcg.ravensburgerplay.com/events/495084,£12.00,2026-06-15T00:22:25.999897
