Date,Type,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-09-04,Attack of the Vines,Southern Inkz tattoo studio,"52, Queen St, Wellingborough, England, NN8 4JP, GB",NN8 4JP,10,8,8m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=52%2C%20Queen%20St%2C%20Wellingborough%2C%20England%2C%20NN8%204JP%2C%20GB,https://tcg.ravensburgerplay.com/events/853647,https://tcg.ravensburgerplay.com/events/651683,£10.00,2026-08-13T15:45:11.372133

2026-09-05,Attack of the Vines,The Games Den,"7 Park Street, Royal Leamington Spa, England, CV32 4QN, GB",CV32 4QN,0,14,1h 1m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=7%20Park%20Street%2C%20Royal%20Leamington%20Spa%2C%20England%2C%20CV32%204QN%2C%20GB,https://tcg.ravensburgerplay.com/events/714263,https://tcg.ravensburgerplay.com/events/617414,£12.50,2026-07-10T21:41:43.429943
2026-09-05,Attack of the Vines,Geek Retreat Stevenage,"Park Place Plaza, Stevenage, England, SG1 1BF, GB",SG1 1BF,0,29,1h 2m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=Park%20Place%20Plaza%2C%20Stevenage%2C%20England%2C%20SG1%201BF%2C%20GB,https://tcg.ravensburgerplay.com/events/856789,https://tcg.ravensburgerplay.com/events/547872,£10.00,2026-08-14T16:10:42.060832
2026-09-05,Attack of the Vines,Outlaw Games Cafe,"56 Lilac Cres, Rylands, Beeston, Nottingham NG9 1PX, UK",NG9 1PX,9,N/A,1h 29m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=56%20Lilac%20Cres%2C%20Rylands%2C%20Beeston%2C%20Nottingham%20NG9%201PX%2C%20UK,https://tcg.ravensburgerplay.com/events/772323,,£10.00,2026-07-15T10:08:49.784617
2026-09-05,Attack of the Vines,Alpha Games,"2 Shepherds Grove Industrial Estate East, Unit 7, Stanton, England, IP31 2AR, GB",IP31 2AR,0,11,1h 41m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=2%20Shepherds%20Grove%20Industrial%20Estate%20East%2C%20Unit%207%2C%20Stanton%2C%20England%2C%20IP31%202AR%2C%20GB,https://tcg.ravensburgerplay.com/events/845290,https://tcg.ravensburgerplay.com/events/608355,£15.00,2026-08-10T17:41:45.832966
2026-09-05,Attack of the Vines,Eclectic Games,"21 Duke Street, Reading, RG1 4SA, GB",RG1 4SA,0,19,1h 45m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=21%20Duke%20Street%2C%20Reading%2C%20RG1%204SA%2C%20GB,https://tcg.ravensburgerplay.com/events/780750,https://tcg.ravensburgerplay.com/events/612103,£20.00,2026-07-18T17:19:53.797588
2026-09-05,Attack of the Vines,The Brotherhood Games Ltd,"210-212 Southwark Park Rd., London, England, SE16 3RW, GB",SE16 3RW,2,39,1h 49m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=210-212%20Southwark%20Park%20Rd.%2C%20London%2C%20England%2C%20SE16%203RW%2C%20GB,https://tcg.ravensburgerplay.com/events/799238,https://tcg.ravensburgerplay.com/events/580489,£20.00,2026-07-25T13:46:30.106087
2026-09-05,Attack of the Vines,The Gamers Guild,"12 Linkfield Corner, Redhill, England, RH1 1BB, GB",RH1 1BB,1,13,1h 50m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=12%20Linkfield%20Corner%2C%20Redhill%2C%20England%2C%20RH1%201BB%2C%20GB,https://tcg.ravensburgerplay.com/events/838167,https://tcg.ravensburgerplay.com/events/631049,£15.00,2026-08-07T18:38:03.485928
2026-09-05,Attack of the Vines,The Nerd Hut,"Buttermarket, Ipswich IP1 1BQ, UK",IP1 1BQ,3,14,1h 55m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=Buttermarket%2C%20Ipswich%20IP1%201BQ%2C%20UK,https://tcg.ravensburgerplay.com/events/712168,https://tcg.ravensburgerplay.com/events/604552,£0.00,2026-07-10T21:41:39.942538
2026-09-05,Attack of the Vines,The Card Corner,8 High Street SKEGNESS PE25 3NW UNITED KINGDOM,PE25 3NW,3,16,2h 7m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=8%20High%20Street%0ASKEGNESS%0APE25%203NW%0AUNITED%20KINGDOM,https://tcg.ravensburgerplay.com/events/793862,https://tcg.ravensburgerplay.com/events/638535,£15.00,2026-07-23T19:12:32.805585
2026-09-05,Attack of the Vines,Void Games,"Mirion Street, Unit 8, Brierley Business Centre , Crewe, England, CW1 2AZ, GB",CW1 2AZ,5,20,2h 14m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=Mirion%20Street%2C%20Unit%208%2C%20Brierley%20Business%20Centre%20%2C%20Crewe%2C%20England%2C%20CW1%202AZ%2C%20GB,https://tcg.ravensburgerplay.com/events/832614,https://tcg.ravensburgerplay.com/events/639231,£15.00,2026-08-05T21:01:45.152330
2026-09-05,Attack of the Vines,prestige wargaming,"34 Shambles Street, prestige wargaming, Barnsley, England, S702SH, GB",S702SH,7,18,2h 19m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=34%20Shambles%20Street%2C%20prestige%20wargaming%2C%20Barnsley%2C%20England%2C%20S702SH%2C%20GB,https://tcg.ravensburgerplay.com/events/760531,https://tcg.ravensburgerplay.com/events/501442,£15.00,2026-07-10T21:41:39.121371
2026-09-05,Attack of the Vines,Games Network,"100 Blatchington Road, hove, England, BN3 3YF, GB",BN3 3YF,3,16,2h 28m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=100%20Blatchington%20Road%2C%20hove%2C%20England%2C%20BN3%203YF%2C%20GB,https://tcg.ravensburgerplay.com/events/828974,https://tcg.ravensburgerplay.com/events/586331,£0.00,2026-08-04T17:36:29.965869
2026-09-05,Attack of the Vines,Dice Board Game Lounge Portsmouth,"149 Albert Road, Dice Board Game Lounge, Portsmouth, England, PO40JW, GB",PO40JW,0,16,2h 32m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=149%20Albert%20Road%2C%20Dice%20Board%20Game%20Lounge%2C%20Portsmouth%2C%20England%2C%20PO40JW%2C%20GB,https://tcg.ravensburgerplay.com/events/850633,https://tcg.ravensburgerplay.com/events/523260,£0.00,2026-08-12T12:13:35.895710
2026-09-05,Attack of the Vines,4th Planet Games,11 Bank St WREXHAM LL11 1AH UNITED KINGDOM,LL11 1AH,14,18,2h 42m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=11%20Bank%20St%0AWREXHAM%0ALL11%201AH%0AUNITED%20KINGDOM,https://tcg.ravensburgerplay.com/events/720391,https://tcg.ravensburgerplay.com/events/608284,£20.00,2026-07-10T21:41:38.203005
2026-09-05,Attack of the Vines,FTK GAMING NETWORK LTD T/A CHAOS CARDS,"100 Sandgate Road, FOLKESTONE, England, CT20 2BW, GB",CT20 2BW,3,21,2h 44m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=100%20Sandgate%20Road%2C%20FOLKESTONE%2C%20England%2C%20CT20%202BW%2C%20GB,https://tcg.ravensburgerplay.com/events/845074,https://tcg.ravensburgerplay.com/events/613751,£14.00,2026-08-10T11:38:04.417182
2026-09-05,Attack of the Vines,Galleon Games,"30 Saint Leonards Road, 30 St. Leonards Road, Bexhill, England, TN40 1HT, GB",TN40 1HT,0,19,2h 54m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=30%20Saint%20Leonards%20Road%2C%2030%20St.%20Leonards%20Road%2C%20Bexhill%2C%20England%2C%20TN40%201HT%2C%20GB,https://tcg.ravensburgerplay.com/events/856634,https://tcg.ravensburgerplay.com/events/604485,£0.00,2026-08-14T13:06:12.815883
2026-09-05,Attack of the Vines,Harlequins Preston,"52 Manchester Road, Lancashire, England, PR1 3YH, GB",PR1 3YH,0,15,3h 6m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=52%20Manchester%20Road%2C%20Lancashire%2C%20England%2C%20PR1%203YH%2C%20GB,https://tcg.ravensburgerplay.com/events/720602,https://tcg.ravensburgerplay.com/events/595105,£12.50,2026-07-10T21:41:41.519827
2026-09-05,Attack of the Vines,Gamepark,"2 Northgate Street, 2 Northgate Street, ABERYSTWYTH, Wales, SY23 2JS, GB",SY23 2JS,0,8,3h 48m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=2%20Northgate%20Street%2C%202%20Northgate%20Street%2C%20ABERYSTWYTH%2C%20Wales%2C%20SY23%202JS%2C%20GB,https://tcg.ravensburgerplay.com/events/711477,https://tcg.ravensburgerplay.com/events/627848,£0.00,2026-07-10T21:41:43.903561
2026-09-05,Attack of the Vines,AJ-TCG Carlisle,3 Earls Lane CARLISLE CA38DG UNITED KINGDOM,CA38DG,1,N/A,4h 41m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=3%20Earls%20Lane%0ACARLISLE%0ACA38DG%0AUNITED%20KINGDOM,https://tcg.ravensburgerplay.com/events/720796,,£15.00,2026-07-10T21:41:41.980207
2026-09-05,Attack of the Vines,Roll The Dice Cornwall C.I.C.,"8 Coinagehall St, Helston, England, TR13 8EB, GB",TR13 8EB,16,14,5h 51m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=8%20Coinagehall%20St%2C%20Helston%2C%20England%2C%20TR13%208EB%2C%20GB,https://tcg.ravensburgerplay.com/events/736690,https://tcg.ravensburgerplay.com/events/487405,£15.00,2026-07-10T21:41:40.944496
2026-09-05,Attack of the Vines,Merchants' Guild,"50 Albion St, G1 1LH, Glasgow, Scotland, G1 1LH, GB",G1 1LH,0,16,6h 23m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=50%20Albion%20St%2C%20G1%201LH%2C%20Glasgow%2C%20Scotland%2C%20G1%201LH%2C%20GB,https://tcg.ravensburgerplay.com/events/726823,https://tcg.ravensburgerplay.com/events/579998,£22.00,2026-07-10T21:41:44.348259
2026-09-05,Attack of the Vines,Nerdvana Livingston,"Unit 11 Grampian Court, Beveridge Square, Dedridge, Livingston, Scotland, EH54 6QF, GB",EH54 6QF,0,16,6h 26m,https://www.google.com/maps/dir/?api=1&origin=NN29%207RW&destination=Unit%2011%20Grampian%20Court%2C%20Beveridge%20Square%2C%20Dedridge%2C%20Livingston%2C%20Scotland%2C%20EH54%206QF%2C%20GB,https://tcg.ravensburgerplay.com/events/712119,https://tcg.ravensburgerplay.com/events/625018,£20.00,2026-07-10T21:41:40.405520
