Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-07-05,Geek Retreat Northampton,"Weedon Road Industrial Estate, Tyne Rd, Northampton, England, NN5 5AF, GB",NN5 5AF,10,N/A,1h 4m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=Weedon%20Road%20Industrial%20Estate%2C%20Tyne%20Rd%2C%20Northampton%2C%20England%2C%20NN5%205AF%2C%20GB,https://tcg.ravensburgerplay.com/events/607430,,£15.00,2026-06-15T00:22:50.997853
2026-07-05,The Games Store,"10 Stonebow Centre, Lincoln, England, LN2 1DY, GB",LN2 1DY,19,16,1h 10m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=10%20Stonebow%20Centre%2C%20Lincoln%2C%20England%2C%20LN2%201DY%2C%20GB,https://tcg.ravensburgerplay.com/events/582967,https://tcg.ravensburgerplay.com/events/429566,£15.00,2026-06-15T00:22:49.490198
2026-07-05,Geek Retreat Stevenage,"Park Place Plaza, Stevenage, England, SG1 1BF, GB",SG1 1BF,29,10,1h 13m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=Park%20Place%20Plaza%2C%20Stevenage%2C%20England%2C%20SG1%201BF%2C%20GB,https://tcg.ravensburgerplay.com/events/547872,https://tcg.ravensburgerplay.com/events/279734,£15.00,2026-06-15T00:22:49.948175
2026-07-05,Wargames Workshop MK,"18 Winchester Circle, Milton Keynes, Milton Keynes, England, MK10 0BA, GB",MK10 0BA,20,20,1h 14m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=18%20Winchester%20Circle%2C%20Milton%20Keynes%2C%20Milton%20Keynes%2C%20England%2C%20MK10%200BA%2C%20GB,https://tcg.ravensburgerplay.com/events/594480,https://tcg.ravensburgerplay.com/events/430714,£15.00,2026-06-15T00:22:45.201482
2026-07-05,Game Guru (Touchwood),"Unit SU52, Touchwood Shopping Centre, 25 Jubilee Walk, Solihull, B91 3HT, GB",B91 3HT,15,N/A,1h 39m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=Unit%20SU52%2C%20Touchwood%20Shopping%20Centre%2C%2025%20Jubilee%20Walk%2C%20Solihull%2C%20B91%203HT%2C%20GB,https://tcg.ravensburgerplay.com/events/675379,,£20.00,2026-06-15T00:22:53.819133
2026-07-05,Diss Games,"Unit V5, Diss, No, IP22 4HQ, UK",IP22 4HQ,10,8,1h 42m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=Unit%20V5%2C%20Diss%2C%20No%2C%20IP22%204HQ%2C%20UK,https://tcg.ravensburgerplay.com/events/675217,https://tcg.ravensburgerplay.com/events/517665,£15.00,2026-06-15T00:22:45.978808
2026-07-05,Geek Retreat Burton,"169 High Street, Burton Upon Trent, England, DE14 1JE, GB",DE14 1JE,11,8,1h 47m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=169%20High%20Street%2C%20Burton%20Upon%20Trent%2C%20England%2C%20DE14%201JE%2C%20GB,https://tcg.ravensburgerplay.com/events/677811,https://tcg.ravensburgerplay.com/events/456187,£15.00,2026-06-15T00:22:53.268722
2026-07-05,Bad Wolf Gaming UK,"37-38 Whitefriargate, Kingston Upon Hull, England, hu1 2hn, GB",HU1 2HN,15,2,2h 6m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=37-38%20Whitefriargate%2C%20Kingston%20Upon%20Hull%2C%20England%2C%20hu1%202hn%2C%20GB,https://tcg.ravensburgerplay.com/events/487523,https://tcg.ravensburgerplay.com/events/303630,£0.00,2026-06-15T00:22:52.745172
2026-07-05,Toys & Games Worcester,"Broad Street, WORCESTER, England, WR1 3LR, GB",WR1 3LR,19,13,2h 14m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=Broad%20Street%2C%20WORCESTER%2C%20England%2C%20WR1%203LR%2C%20GB,https://tcg.ravensburgerplay.com/events/703129,https://tcg.ravensburgerplay.com/events/437165,£20.00,2026-06-19T16:06:19.865292
2026-07-05,Drewtopia LTD T/A Boardroom Gaming Cafe,"13 New Street, 13 New Street, Telford, England, TF1 1LU, GB",TF1 1LU,16,16,2h 18m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=13%20New%20Street%2C%2013%20New%20Street%2C%20Telford%2C%20England%2C%20TF1%201LU%2C%20GB,https://tcg.ravensburgerplay.com/events/575005,https://tcg.ravensburgerplay.com/events/381094,£20.00,2026-06-15T00:22:46.718780
2026-07-05,Food and Board,"32-42 Tudor Drive, Food and Board, Yateley, England, GU466BY, GB",GU466BY,21,15,2h 19m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=32-42%20Tudor%20Drive%2C%20Food%20and%20Board%2C%20Yateley%2C%20England%2C%20GU466BY%2C%20GB,https://tcg.ravensburgerplay.com/events/589500,https://tcg.ravensburgerplay.com/events/451541,£15.00,2026-06-15T00:22:48.334714
2026-07-05,Firestorm Games Swindon,"121 Victoria Road, SWindon, England, Sn13bh, GB",SN13BH,11,8,2h 28m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=121%20Victoria%20Road%2C%20SWindon%2C%20England%2C%20Sn13bh%2C%20GB,https://tcg.ravensburgerplay.com/events/694970,https://tcg.ravensburgerplay.com/events/281936,£0.00,2026-06-16T15:02:03.634246
